AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;7;Andalucía;América;Argentina;2648.0;20603.0;7.8
2019;7;Andalucía;América;Bolivia;55.0;388.0;7.1
2019;7;Andalucía;América;Brasil;2847.0;17467.0;6.1
2019;7;Andalucía;América;Canadá;4895.0;27548.0;5.6
2019;7;Andalucía;América;Chile;498.0;3645.0;7.3
2019;7;Andalucía;América;Colombia;1535.0;12418.0;8.1
2019;7;Andalucía;América;Costa Rica;53.0;437.0;8.2
2019;7;Andalucía;América;Ecuador;211.0;1390.0;6.6
2019;7;Andalucía;América;El Salvador;36.0;269.0;7.5
2019;7;Andalucía;América;Estados Unidos de América;50216.0;301919.0;6.0
2019;7;Andalucía;América;Guatemala;51.0;429.0;8.4
2019;7;Andalucía;América;México;2179.0;17190.0;7.9
2019;7;Andalucía;América;Nicaragua;238.0;1916.0;8.1
2019;7;Andalucía;América;Panamá;147.0;934.0;6.4
2019;7;Andalucía;América;Paraguay;119.0;993.0;8.3
2019;7;Andalucía;América;Perú;300.0;2371.0;7.9
2019;7;Andalucía;América;República Dominicana;59.0;359.0;6.1
2019;7;Andalucía;América;Uruguay;304.0;2647.0;8.7
2019;7;Andalucía;América;Venezuela;283.0;2364.0;8.4
2019;7;Andalucía;Asia;Arabia Saudí;4022.0;25841.0;6.4
2019;7;Andalucía;Asia;Azerbaiyán;84.0;415.0;4.9
2019;7;Andalucía;Asia;Bahréin;576.0;2806.0;4.9
2019;7;Andalucía;Asia;China;11273.0;58069.0;5.2
2019;7;Andalucía;Asia;Corea;2305.0;12134.0;5.3
2019;7;Andalucía;Asia;Emiratos Árabes Unidos;2811.0;15923.0;5.7
2019;7;Andalucía;Asia;Filipinas;4582.0;13351.0;2.9
2019;7;Andalucía;Asia;India;1547.0;7273.0;4.7
2019;7;Andalucía;Asia;Indonesia;427.0;1640.0;3.8
2019;7;Andalucía;Asia;Iraq;86.0;444.0;5.2
2019;7;Andalucía;Asia;Irán;184.0;1000.0;5.4
2019;7;Andalucía;Asia;Israel;1549.0;8254.0;5.3
2019;7;Andalucía;Asia;Japón;1859.0;8548.0;4.6
2019;7;Andalucía;Asia;Jordania;226.0;1175.0;5.2
2019;7;Andalucía;Asia;Kazajstán;197.0;1141.0;5.8
2019;7;Andalucía;Asia;Kuwait;1353.0;10465.0;7.7
2019;7;Andalucía;Asia;Líbano;482.0;2322.0;4.8
2019;7;Andalucía;Asia;Malasia;228.0;1220.0;5.4
2019;7;Andalucía;Asia;Myanmar;70.0;293.0;4.2
2019;7;Andalucía;Asia;Omán;126.0;775.0;6.2
2019;7;Andalucía;Asia;Otros países de Asia;333.0;1723.0;5.2
2019;7;Andalucía;Asia;Pakistán;67.0;399.0;6.0
2019;7;Andalucía;Asia;Qatar;838.0;5366.0;6.4
2019;7;Andalucía;Asia;Singapur;541.0;2982.0;5.5
2019;7;Andalucía;Asia;Siria;31.0;126.0;4.1
2019;7;Andalucía;Asia;Sri Lanka;127.0;404.0;3.2
2019;7;Andalucía;Asia;Tailandia;475.0;2660.0;5.6
2019;7;Andalucía;Asia;Vietnam;160.0;707.0;4.4
2019;7;Andalucía;Europa;Albania;115.0;587.0;5.1
2019;7;Andalucía;Europa;Alemania;82602.0;663946.0;8.0
2019;7;Andalucía;Europa;Andorra;588.0;4467.0;7.6
2019;7;Andalucía;Europa;Armenia;56.0;264.0;4.7
2019;7;Andalucía;Europa;Austria;17448.0;114186.0;6.5
2019;7;Andalucía;Europa;Belarús;303.0;2007.0;6.6
2019;7;Andalucía;Europa;Bulgaria;1798.0;12597.0;7.0
2019;7;Andalucía;Europa;Bélgica;52367.0;354493.0;6.8
2019;7;Andalucía;Europa;Chipre;128.0;679.0;5.3
2019;7;Andalucía;Europa;Croacia;661.0;4501.0;6.8
2019;7;Andalucía;Europa;Dinamarca;33320.0;278637.0;8.4
2019;7;Andalucía;Europa;Eslovenia;615.0;4141.0;6.7
2019;7;Andalucía;Europa;Estonia;2088.0;15418.0;7.4
2019;7;Andalucía;Europa;Finlandia;14144.0;104472.0;7.4
2019;7;Andalucía;Europa;Francia;140550.0;857620.0;6.1
2019;7;Andalucía;Europa;Georgia;167.0;1034.0;6.2
2019;7;Andalucía;Europa;Grecia;1563.0;9570.0;6.1
2019;7;Andalucía;Europa;Hungría;3797.0;25102.0;6.6
2019;7;Andalucía;Europa;Irlanda;55780.0;444118.0;8.0
2019;7;Andalucía;Europa;Islandia;1271.0;9915.0;7.8
2019;7;Andalucía;Europa;Italia;36965.0;252018.0;6.8
2019;7;Andalucía;Europa;Letonia;1288.0;10485.0;8.1
2019;7;Andalucía;Europa;Liechtenstein;229.0;1739.0;7.6
2019;7;Andalucía;Europa;Lituania;1448.0;10226.0;7.1
2019;7;Andalucía;Europa;Luxemburgo;5284.0;38968.0;7.4
2019;7;Andalucía;Europa;Macedonia del Norte;113.0;658.0;5.8
2019;7;Andalucía;Europa;Malta;765.0;4742.0;6.2
2019;7;Andalucía;Europa;Moldavia;157.0;831.0;5.3
2019;7;Andalucía;Europa;Noruega;28614.0;253440.0;8.9
2019;7;Andalucía;Europa;Países Bajos;68539.0;440763.0;6.4
2019;7;Andalucía;Europa;Polonia;17510.0;121676.0;6.9
2019;7;Andalucía;Europa;Portugal;40434.0;191905.0;4.7
2019;7;Andalucía;Europa;República Checa;6454.0;44406.0;6.9
2019;7;Andalucía;Europa;República Eslovaca;2843.0;20163.0;7.1
2019;7;Andalucía;Europa;Rumanía;6930.0;56382.0;8.1
2019;7;Andalucía;Europa;Rusia;13667.0;94725.0;6.9
2019;7;Andalucía;Europa;Serbia;415.0;2296.0;5.5
2019;7;Andalucía;Europa;Suecia;50139.0;399610.0;8.0
2019;7;Andalucía;Europa;Suiza;16479.0;108096.0;6.6
2019;7;Andalucía;Europa;Turquía;1554.0;6261.0;4.0
2019;7;Andalucía;Europa;Ucrania;4956.0;33258.0;6.7
2019;7;Andalucía;Oceanía;Australia;2319.0;15310.0;6.6
2019;7;Andalucía;Oceanía;Nueva Zelanda;564.0;4126.0;7.3
2019;7;Andalucía;África;Angola;41.0;195.0;4.8
2019;7;Andalucía;África;Argelia;1945.0;7689.0;4.0
2019;7;Andalucía;África;Costa de Marfil;61.0;319.0;5.2
